Location,Objects
ambulance,['tourniquet']
anor room,['phone']
apartment,"['armchair', 'bed', 'bedroom', 'blender', 'closet', 'computer', 'couch', 'cup', 'dish', 'dishwasher', 'door', 'elevator', 'foyer', 'furniture', 'gate', 'ipod', 'kitchen', 'kitchenette', 'lamp', 'loft', 'mailbox', 'microwave', 'mop', 'mouse', 'pillow', 'radiator', 'refrigerator', 'room', 'sink', 'stove', 'table', 'television', 'toilet', 'tv']"
aquarium,['fish']
attic,"['antique', 'bat', 'damper', 'duct', 'fire', 'junk', 'light', 'mouse', 'rafter', 'spider', 'storage', 'trunk', 'vent']"
automobile,"['container', 'heater', 'horn', 'steel', 'trunk']"
backpack,"['blanket', 'canteen', 'clothing', 'coat', 'computer', 'cord', 'drink', 'flashlight', 'food', 'gauze', 'knife', 'lunch', 'match', 'netting', 'pencil', 'pot', 'raincoat', 'rope', 'school', 'schoolbook', 'scissors', 'snack', 'sunscreen', 'tape', 'tent', 'textbook', 'thing', 'torch', 'underwear', 'utensil']"
backyard,"['deck', 'gate', 'hedge', 'mouse', 'pit', 'shed', 'spa', 'wagon']"
bag,"['gun', 'phone', 'radio', 'sugar', 'sunglass']"
ballroom,"['ball', 'streamer', 'tuxedo']"
band room,['violin']
bank,"['atm', 'check', 'cubicle', 'vault']"
bar,"['beer', 'beverage', 'booze', 'brandy', 'coke', 'decanter', 'drink', 'gin', 'glass', 'john', 'jukebox', 'liquor', 'mug', 'screwdriver', 'stool', 'tab', 'tap', 'television', 'vermouth', 'vodka', 'whiskey', 'whisky']"
barrel,"['bourbon', 'bullet', 'wine']"
basement,"['bar', 'bed', 'cellar', 'drill', 'dryer', 'dungeon', 'fire', 'fireplace', 'furnace', 'joist', 'laundry', 'ottoman', 'saw', 'shop', 'spider', 'storehouse', 'storeroom', 'tank', 'toilet', 'tool', 'toy', 'weight']"
basket,['bread']
bath,['ribbon']
bathroom,"['action figure', 'adjustable wrench', 'android figure', 'anti slip tape', 'antidepressant', 'apple', 'backpack', 'balancing cactu', 'banana', 'baseball', 'bath sheet', 'bathtub', 'bathtubbasin', 'battery', 'beard color gel', 'beauty pack', 'bleach cleanser', 'blender jar', 'board game', 'book', 'bookend', 'bowl', 'box', 'bundt pan', 'butter dish', 'cabinet', 'cake mix', 'cake pan', 'camera', 'can opener', 'candle', 'candle holder', 'candy', 'candy bar', 'canister', 'card game', 'carrying case', 'casserole dish', 'cereal', 'chain', 'chocolate', 'chocolate box', 'chocolate milk pod', 'chocolate powder', 'chopping board', 'clamp', 'clay', 'clock', 'cloth', 'coffee bean', 'coffee pod', 'coffeemaker', 'colored wood block', 'condiment', 'condom', 'countertop', 'cracker box', 'crayon', 'cube storage box', 'cup', 'cushion', 'desk caddy', 'diaper pack', 'dietary supplement', 'dish drainer', 'dishsponge', 'dishtowel', 'dispensing closure', 'dog bowl', 'dog chew toy', 'dollhouse toy', 'donut', 'drawer', 'dresser', 'drink coaster', 'duct tape', 'dumbbell', 'dumbbell rack', 'dustpan and brush', 'dutch oven', 'easter basket', 'electric heater', 'electric toothbrush', 'electronic adapter', 'electronic cable', 'face moisturizer', 'faucet', 'file sorter', 'fingerpaint', 'fitness tracker wristband', 'flashlight', 'flat screwdriver', 'floor', 'foam brick', 'folder', 'fondant', 'footstool', 'fork', 'fruit snack', 'garbagecan', 'gel', 'gelatin box', 'glove', 'golf ball', 'graphics card', 'hair color', 'hair conditioner', 'hair dryer', 'hair straightener', 'hammer', 'hand bell', 'handbag', 'handtowel', 'handtowelholder', 'hard drive', 'hard drive case', 'hat', 'headphone', 'heavy duty glove', 'heavy master chef can', 'helmet', 'herring fillet', 'honey dipper', 'houseplant', 'incontinence pad', 'ink cartridge', 'instant camera', 'invitation card', 'jar', 'jenga', 'jewelry box', 'john', 'keyboard', 'knife', 'knife block', 'labeling tape', 'lamp', 'lantern', 'laptop', 'laptop cover', 'laptop stand', 'large marker', 'laundry box', 'laxative', 'lego duplo', 'lemon', 'letter holder', 'light bulb', 'lightswitch', 'lime squeezer', 'lipstick', 'lunch bag', 'lunch box', 'magnifying glas', 'mascara', 'master chef can', 'mat', 'measuring tape', 'medicine', 'milk fror', 'mini soccer ball', 'mirror', 'moistener', 'morboard', 'mouse', 'mouse pad', 'movie dvd', 'mug', 'multiport hub', 'mustard bottle', 'neck rest', 'nine hole peg test', 'nintendo switch', 'orange', 'padlock', 'paint bottle set', 'paint maker', 'painting', 'pan', 'paper bag', 'papertowelroll', 'parchment sheet', 'peach', 'pear', 'peg and hammer toy', 'pencil case', 'peppermint', 'pepsi can pack', 'pet food supplement', 'phillips screwdriver', 'phone armband case', 'phone stand', 'picture frame', 'pillow', 'pitcher base', 'plant', 'plant container', 'plant saucer', 'plate', 'plum', 'plumbing', 'plunger', 'portable speaker', 'potted meat can', 'power drill', 'pressure cooker', 'pudding box', 'puzzle game', 'racquetball', 'ramekin', 'remote control', 'rmal laminator', 'router', 'rubiks cube', 'salt shaker', 'sanitary pad', 'saucer', 'saute pan', 'scissors', 'scrubbrush', 'set-top box', 'shelf', 'shoe', 'shoe box', 'showercurtain', 'showerdoor', 'showerglas', 'showerhead', 'shredder', 'sidetable', 'sidewalk chalk', 'sink', 'sinkbasin', 'skillet', 'skillet lid', 'skin care product', 'skin moisturizer', 'snack cake', 'snack dispenser', 'soap dish', 'soap dispenser', 'soapbar', 'soapbottle', 'softball', 'software cd', 'sorting toy', 'sparkling water', 'spatula', 'spider', 'sponge', 'sponge dish', 'spoon', 'spoon rest', 'spraybottle', 'stacking cup', 'stand mixer', 'storage bin', 'strawberry', 'string light', 'stuffed toy', 'sugar box', 'sugar sprinkle', 'surface saver ring', 'sushi mat', 'table lamp', 'tablet', 'tablet holder', 'tablet stand', 'tampon', 'tap', 'tea can pack', 'tea pod', 'teapot', 'tennis ball', 'tile', 'tissuebox', 'toaster', 'toilet', 'toiletpaper', 'toiletpaperhanger', 'tomato soup can', 'toothbrush holder', 'toothbrush pack', 'towel', 'towelholder', 'toy airplane', 'toy animal', 'toy basketball', 'toy bowling set', 'toy construction set', 'toy fishing', 'toy food', 'toy furniture set', 'toy instrument', 'toy kitchen set', 'toy tool kit', 'toy vehicle', 'tray', 'tumbler', 'umbrella', 'usb drive', 'utensil holder', 'vase', 'video game', 'vinyl tape', 'virtual reality viewer', 'washcloth', 'waste basket', 'water bottle', 'weight loss guide', 'whale whistle', 'window', 'wipe warmer', 'wireless accessory', 'xylitol sweetener']"
bathroom and kitchen,['sink']
bathroom cabinet,['toothbrush']
bathroom drawer,['pad']
bathroom or kitchen,['faucet']
bathtub,"['spider', 'tap']"
bay,['boat']
bed,"['camper', 'carpeting', 'comfort', 'duvet', 'frame', 'junk', 'magazine', 'mit', 'pillowcase', 'rug', 'shoe', 'slipper', 'spider', 'spoon', 'toy', 'wallet']"
bedroom,"['action figure', 'adjustable wrench', 'alarmclock', 'android figure', 'anti slip tape', 'antidepressant', 'apple', 'armchair', 'armoire', 'backpack', 'balancing cactu', 'banana', 'baseball', 'baseballbat', 'basketball', 'bath sheet', 'battery', 'beanbag', 'beard color gel', 'beauty pack', 'bed', 'blanket', 'bleach cleanser', 'blender jar', 'blind', 'board game', 'book', 'bookend', 'bookshelf', 'boot', 'bowl', 'box', 'bundt pan', 'bureau', 'butter dish', 'cabinet', 'cake mix', 'cake pan', 'camera', 'can opener', 'candle', 'candle holder', 'candy', 'candy bar', 'canister', 'card game', 'carpeting', 'carrying case', 'casserole dish', 'cd', 'cellphone', 'cereal', 'chain', 'chair', 'chocolate', 'chocolate box', 'chocolate milk pod', 'chocolate powder', 'chopping board', 'clamp', 'clay', 'clock', 'closet', 'cloth', 'coffee bean', 'coffee pod', 'coffeemaker', 'coffeetable', 'colored wood block', 'condiment', 'condom', 'countertop', 'cracker box', 'crayon', 'creditcard', 'cube storage box', 'cup', 'curtain', 'cushion', 'desk', 'desk caddy', 'desklamp', 'desktop', 'diaper pack', 'dietary supplement', 'dish drainer', 'dishtowel', 'dispensing closure', 'dog bowl', 'dog chew toy', 'dogbed', 'dollhouse toy', 'donut', 'drawer', 'dresser', 'drink coaster', 'duct tape', 'dumbbell', 'dumbbell rack', 'dustpan and brush', 'dutch oven', 'duvet', 'easter basket', 'electric heater', 'electric toothbrush', 'electronic adapter', 'electronic cable', 'face moisturizer', 'file sorter', 'fingerpaint', 'fireplace', 'fitness tracker wristband', 'flashlight', 'flat screwdriver', 'floor', 'foam brick', 'folder', 'fondant', 'footstool', 'fork', 'fruit snack', 'garbagebag', 'garbagecan', 'gelatin box', 'glove', 'golf ball', 'graphics card', 'hair color', 'hair conditioner', 'hair dryer', 'hair straightener', 'hammer', 'hand bell', 'handbag', 'hard drive', 'hard drive case', 'hat', 'headphone', 'heavy duty glove', 'heavy master chef can', 'helmet', 'herring fillet', 'honey dipper', 'house', 'houseplant', 'incontinence pad', 'ink cartridge', 'instant camera', 'invitation card', 'jar', 'jean', 'jenga', 'jewelry box', 'keyboard', 'keychain', 'knife', 'knife block', 'labeling tape', 'lamp', 'lantern', 'laptop', 'laptop cover', 'laptop stand', 'large marker', 'laundry box', 'laundryhamper', 'laxative', 'lego duplo', 'lemon', 'letter holder', 'light bulb', 'lightswitch', 'lime squeezer', 'lipstick', 'lunch bag', 'lunch box', 'magnifying glas', 'mascara', 'master chef can', 'measuring tape', 'medicine', 'milk fror', 'mini soccer ball', 'mirror', 'morboard', 'mouse', 'mouse pad', 'movie dvd', 'mug', 'multiport hub', 'mustard bottle', 'neck rest', 'nine hole peg test', 'nintendo switch', 'orange', 'padlock', 'paint bottle set', 'paint maker', 'painting', 'pan', 'paper bag', 'parchment sheet', 'peach', 'pear', 'peg and hammer toy', 'pen', 'pencil', 'pencil case', 'peppermint', 'pepsi can pack', 'pet food supplement', 'phillips screwdriver', 'phone armband case', 'phone stand', 'picture frame', 'pillow', 'pillowcase', 'pitcher base', 'plant', 'plant container', 'plant saucer', 'plate', 'plum', 'portable speaker', 'poster', 'potted meat can', 'power drill', 'pressure cooker', 'pudding box', 'puzzle game', 'pyjama', 'racquetball', 'radio', 'ramekin', 'remote control', 'remotecontrol', 'rmal laminator', 'router', 'rubiks cube', 'rug', 'safe', 'salt shaker', 'sanitary pad', 'saucer', 'saute pan', 'scissors', 'set-top box', 'sheet', 'shelf', 'shelvingunit', 'shoe', 'shoe box', 'shredder', 'sidetable', 'sidewalk chalk', 'skillet', 'skillet lid', 'skin care product', 'skin moisturizer', 'slipper', 'snack cake', 'snack dispenser', 'soap dish', 'soap dispenser', 'sofa', 'softball', 'software cd', 'sorting toy', 'sparkling water', 'spatula', 'sponge', 'sponge dish', 'spoon', 'spoon rest', 'stacking cup', 'stand mixer', 'statue', 'stool', 'storage bin', 'strawberry', 'string light', 'stuffed toy', 'sugar box', 'sugar sprinkle', 'surface saver ring', 'sushi mat', 'table', 'table lamp', 'tablet', 'tablet holder', 'tablet stand', 'tabletopdecor', 'tampon', 'tea can pack', 'tea pod', 'teapot', 'teddybear', 'television', 'tennis ball', 'tennisracket', 'tissuebox', 'toaster', 'tomato soup can', 'toothbrush', 'toothbrush holder', 'toothbrush pack', 'towel', 'toy airplane', 'toy animal', 'toy basketball', 'toy bowling set', 'toy construction set', 'toy fishing', 'toy food', 'toy furniture set', 'toy instrument', 'toy kitchen set', 'toy tool kit', 'toy vehicle', 'tray', 'trunk', 'tumbler', 'tv', 'umbrella', 'usb drive', 'utensil holder', 'vacuumcleaner', 'vase', 'video game', 'vinyl tape', 'virtual reality viewer', 'wardrobe', 'washcloth', 'waste basket', 'watch', 'water bottle', 'weight loss guide', 'whale whistle', 'window', 'wipe warmer', 'wireless accessory', 'xylitol sweetener']"
bedroom drawer,['watch']
beehive,['honey']
belfry,['bat']
bicycle,['chain']
bike,['garage']
board,['nail']
boat,"['beer', 'boater', 'deck', 'fish', 'food', 'foresail', 'ga', 'galley', 'harbor', 'lifeboat', 'mainsail', 'mast', 'net', 'pirate', 'propellor', 'prow', 'pump', 'rope', 'rudder', 'sextant', 'transom', 'wood']"
bookshelf,"['bookend', 'volume']"
boot,['foot']
bottle,"['beer', 'beverage', 'drink', 'milk', 'pill', 'wine']"
bowl,"['food', 'potato', 'spoon']"
box,"['batter', 'candy', 'card', 'cereal', 'check', 'chocolate', 'computer', 'cookies', 'hat', 'jack', 'jewelry', 'junk', 'match', 'monitor', 'mouse', 'pencil', 'pliers', 'ribbon', 'shoe', 'toothpick', 'toy', 'treasure', 'turtle']"
breadbox,"['bread', 'bun', 'cookies', 'cracker', 'kitchen', 'mold', 'roll']"
briefcase,"['folder', 'pad']"
bright room,['tv']
broom closet,['dustbin']
bundle,['cord']
bunk,['camper']
butt,['wool']
cabin,['camper']
cabinet,"['broom', 'camera', 'candle', 'cd', 'cereal', 'china', 'cord', 'coronet', 'crowbar', 'dish', 'drill', 'drink', 'envelope', 'figurine', 'film', 'firearm', 'folder', 'food', 'form', 'gauze', 'glass', 'glove', 'jar', 'lipstick', 'liquor', 'lotion', 'metronome', 'mug', 'nail', 'napkin', 'paint', 'paperclip', 'paste', 'pencil', 'perfume', 'photo', 'pill', 'platter', 'pliers', 'rag', 'ruler', 'safe', 'salt', 'saltshaker', 'sander', 'saucepan', 'saucer', 'scissors', 'shelf', 'socket', 'spice', 'stamper', 'stapler', 'tape', 'television', 'thimble', 'thing', 'thread', 'toothbrush', 'trowel', 'vase', 'video', 'violin', 'vodka', 'yarn']"
camp,['camper']
can,"['beer', 'beet', 'coke', 'drink', 'food', 'garbage', 'lip', 'paint', 'pea', 'pear', 'shellac', 'soda', 'soup', 'spam', 'tuna', 'vegetable']"
car,"['armrest', 'bumper', 'carburettor', 'computer', 'container', 'dashboard', 'door', 'driveway', 'garage', 'gear', 'gun', 'headlight', 'horn', 'magnet', 'oil', 'pedal', 'radiator', 'stereo', 'sunglass', 'transmission', 'trunk']"
card room,['table']
carton,['milk']
case,"['glass', 'viola', 'wristwatch']"
cash's room,['couch']
castle,"['cellar', 'museum', 'rook']"
cat,"['fur', 'mouse']"
cellar,"['bat', 'bottle', 'carrot', 'furnace', 'jar', 'junk', 'laundry', 'mold', 'mouse', 'spider']"
chamber,"['bullet', 'pottery']"
chest,['drawer']
child's bedroom,"['beanbag', 'toy']"
child's room,['drum']
children's room,['toy']
childs room,"['action figure', 'adjustable wrench', 'android figure', 'anti slip tape', 'antidepressant', 'apple', 'backpack', 'balancing cactu', 'banana', 'baseball', 'bath sheet', 'battery', 'beard color gel', 'beauty pack', 'bleach cleanser', 'blender jar', 'board game', 'book', 'bookend', 'bowl', 'box', 'bundt pan', 'butter dish', 'cake mix', 'cake pan', 'camera', 'can opener', 'candle holder', 'candy', 'candy bar', 'canister', 'card game', 'carrying case', 'casserole dish', 'cereal', 'chain', 'chocolate', 'chocolate box', 'chocolate milk pod', 'chocolate powder', 'chopping board', 'clamp', 'clay', 'clock', 'cloth', 'coffee bean', 'coffee pod', 'coffeemaker', 'colored wood block', 'condiment', 'cracker box', 'crayon', 'cube storage box', 'cup', 'cushion', 'desk caddy', 'diaper pack', 'dietary supplement', 'dish drainer', 'dishtowel', 'dispensing closure', 'dog bowl', 'dog chew toy', 'dollhouse toy', 'donut', 'drink coaster', 'duct tape', 'dumbbell', 'dumbbell rack', 'dustpan and brush', 'dutch oven', 'easter basket', 'electric heater', 'electric toothbrush', 'electronic adapter', 'electronic cable', 'face moisturizer', 'file sorter', 'fingerpaint', 'fitness tracker wristband', 'flashlight', 'flat screwdriver', 'foam brick', 'folder', 'fondant', 'fork', 'fruit snack', 'gelatin box', 'glove', 'golf ball', 'graphics card', 'hair color', 'hair conditioner', 'hair dryer', 'hair straightener', 'hammer', 'hand bell', 'handbag', 'hard drive', 'hard drive case', 'hat', 'headphone', 'heavy duty glove', 'heavy master chef can', 'helmet', 'herring fillet', 'honey dipper', 'incontinence pad', 'ink cartridge', 'instant camera', 'invitation card', 'jar', 'jenga', 'jewelry box', 'keyboard', 'knife', 'knife block', 'labeling tape', 'lamp', 'lantern', 'laptop', 'laptop cover', 'laptop stand', 'large marker', 'laundry box', 'laxative', 'lego duplo', 'lemon', 'letter holder', 'light bulb', 'lime squeezer', 'lipstick', 'lunch bag', 'lunch box', 'magnifying glas', 'mascara', 'master chef can', 'measuring tape', 'medicine', 'milk fror', 'mini soccer ball', 'morboard', 'mouse', 'mouse pad', 'movie dvd', 'mug', 'multiport hub', 'mustard bottle', 'neck rest', 'nine hole peg test', 'nintendo switch', 'orange', 'padlock', 'paint bottle set', 'paint maker', 'pan', 'paper bag', 'parchment sheet', 'peach', 'pear', 'peg and hammer toy', 'pencil case', 'peppermint', 'pepsi can pack', 'pet food supplement', 'phillips screwdriver', 'phone armband case', 'phone stand', 'picture frame', 'pillow', 'pitcher base', 'plant', 'plant container', 'plant saucer', 'plate', 'plum', 'portable speaker', 'potted meat can', 'power drill', 'pressure cooker', 'pudding box', 'puzzle game', 'racquetball', 'ramekin', 'remote control', 'rmal laminator', 'router', 'rubiks cube', 'salt shaker', 'sanitary pad', 'saucer', 'saute pan', 'scissors', 'set-top box', 'shoe', 'shoe box', 'shredder', 'sidewalk chalk', 'skillet', 'skillet lid', 'skin care product', 'skin moisturizer', 'snack cake', 'snack dispenser', 'soap dish', 'soap dispenser', 'softball', 'software cd', 'sorting toy', 'sparkling water', 'spatula', 'sponge', 'sponge dish', 'spoon', 'spoon rest', 'stacking cup', 'stand mixer', 'storage bin', 'strawberry', 'string light', 'stuffed toy', 'sugar box', 'sugar sprinkle', 'surface saver ring', 'sushi mat', 'table lamp', 'tablet', 'tablet holder', 'tablet stand', 'tampon', 'tea can pack', 'tea pod', 'teapot', 'tennis ball', 'toaster', 'tomato soup can', 'toothbrush holder', 'toothbrush pack', 'towel', 'toy airplane', 'toy animal', 'toy basketball', 'toy bowling set', 'toy construction set', 'toy fishing', 'toy food', 'toy furniture set', 'toy instrument', 'toy kitchen set', 'toy tool kit', 'toy vehicle', 'tray', 'tumbler', 'umbrella', 'usb drive', 'utensil holder', 'vase', 'video game', 'vinyl tape', 'virtual reality viewer', 'washcloth', 'waste basket', 'water bottle', 'weight loss guide', 'whale whistle', 'wipe warmer', 'wireless accessory', 'xylitol sweetener']"
class room,['metronome']
classroom,"['chalk', 'chalkboard', 'clipboard', 'computer', 'crayon', 'dictionary', 'door', 'flag', 'pencil', 'rule', 'school', 'stool']"
