Location,Objects
numerous modern washroom,['countertop']
one of  classroom,['collage']
one room flat,['kitchenette']
orchestra,"['drum', 'viola', 'violin']"
oven,"['apple', 'bacon', 'bar', 'biscuit', 'bread', 'broccoli', 'broiler', 'burner', 'carrot', 'cauliflower', 'chicken', 'chickpea', 'cookie', 'cookies', 'cupcake', 'dinner', 'duck', 'eggplant', 'food', 'goose', 'lamb', 'loaf', 'marshmallow', 'meatloaf', 'meringue', 'muffin', 'pastry', 'peach', 'pepper', 'pie', 'pizza', 'pork', 'potato', 'prawn', 'pretzel', 'pudding', 'rack', 'roast', 'rotisserie', 'salmon', 'scone', 'shrimp', 'squash', 'steak', 'supper', 'tenderloin', 'tofu', 'tomato', 'tortilla', 'turkey', 'vegetable', 'yam', 'yogurt']"
package,"['condom', 'notebook']"
packet,['hardware']
palace,['emperor']
pan,"['batter', 'potato', 'spinach', 'vegetable']"
pantry,"['bread', 'cereal', 'condiment', 'cracker', 'dish', 'food', 'fruit', 'jar', 'memory', 'mouse', 'pouch', 'rice', 'spice']"
pantry room,"['action figure', 'adjustable wrench', 'android figure', 'anti slip tape', 'antidepressant', 'apple', 'backpack', 'balancing cactu', 'banana', 'baseball', 'bath sheet', 'battery', 'beard color gel', 'beauty pack', 'bleach cleanser', 'blender jar', 'board game', 'book', 'bookend', 'bowl', 'box', 'bundt pan', 'butter dish', 'cake mix', 'cake pan', 'camera', 'can opener', 'candle holder', 'candy', 'candy bar', 'canister', 'card game', 'carrying case', 'casserole dish', 'cereal', 'chain', 'chocolate', 'chocolate box', 'chocolate milk pod', 'chocolate powder', 'chopping board', 'clamp', 'clay', 'clock', 'cloth', 'coffee bean', 'coffee pod', 'coffeemaker', 'colored wood block', 'condiment', 'cracker box', 'crayon', 'cube storage box', 'cup', 'cushion', 'desk caddy', 'diaper pack', 'dietary supplement', 'dish drainer', 'dishtowel', 'dispensing closure', 'dog bowl', 'dog chew toy', 'dollhouse toy', 'donut', 'drink coaster', 'duct tape', 'dumbbell', 'dumbbell rack', 'dustpan and brush', 'dutch oven', 'easter basket', 'electric heater', 'electric toothbrush', 'electronic adapter', 'electronic cable', 'face moisturizer', 'file sorter', 'fingerpaint', 'fitness tracker wristband', 'flashlight', 'flat screwdriver', 'foam brick', 'folder', 'fondant', 'fork', 'fruit snack', 'gelatin box', 'glove', 'golf ball', 'graphics card', 'hair color', 'hair conditioner', 'hair dryer', 'hair straightener', 'hammer', 'hand bell', 'handbag', 'hard drive', 'hard drive case', 'hat', 'headphone', 'heavy duty glove', 'heavy master chef can', 'helmet', 'herring fillet', 'honey dipper', 'incontinence pad', 'ink cartridge', 'instant camera', 'invitation card', 'jar', 'jenga', 'jewelry box', 'keyboard', 'knife', 'knife block', 'labeling tape', 'lamp', 'lantern', 'laptop', 'laptop cover', 'laptop stand', 'large marker', 'laundry box', 'laxative', 'lego duplo', 'lemon', 'letter holder', 'light bulb', 'lime squeezer', 'lipstick', 'lunch bag', 'lunch box', 'magnifying glas', 'mascara', 'master chef can', 'measuring tape', 'medicine', 'milk fror', 'mini soccer ball', 'morboard', 'mouse', 'mouse pad', 'movie dvd', 'mug', 'multiport hub', 'mustard bottle', 'neck rest', 'nine hole peg test', 'nintendo switch', 'orange', 'padlock', 'paint bottle set', 'paint maker', 'pan', 'paper bag', 'parchment sheet', 'peach', 'pear', 'peg and hammer toy', 'pencil case', 'peppermint', 'pepsi can pack', 'pet food supplement', 'phillips screwdriver', 'phone armband case', 'phone stand', 'picture frame', 'pillow', 'pitcher base', 'plant', 'plant container', 'plant saucer', 'plate', 'plum', 'portable speaker', 'potted meat can', 'power drill', 'pressure cooker', 'pudding box', 'puzzle game', 'racquetball', 'ramekin', 'remote control', 'rmal laminator', 'router', 'rubiks cube', 'salt shaker', 'sanitary pad', 'saucer', 'saute pan', 'scissors', 'set-top box', 'shoe', 'shoe box', 'shredder', 'sidewalk chalk', 'skillet', 'skillet lid', 'skin care product', 'skin moisturizer', 'snack cake', 'snack dispenser', 'soap dish', 'soap dispenser', 'softball', 'software cd', 'sorting toy', 'sparkling water', 'spatula', 'sponge', 'sponge dish', 'spoon', 'spoon rest', 'stacking cup', 'stand mixer', 'storage bin', 'strawberry', 'string light', 'stuffed toy', 'sugar box', 'sugar sprinkle', 'surface saver ring', 'sushi mat', 'table lamp', 'tablet', 'tablet holder', 'tablet stand', 'tampon', 'tea can pack', 'tea pod', 'teapot', 'tennis ball', 'toaster', 'tomato soup can', 'toothbrush holder', 'toothbrush pack', 'towel', 'toy airplane', 'toy animal', 'toy basketball', 'toy bowling set', 'toy construction set', 'toy fishing', 'toy food', 'toy furniture set', 'toy instrument', 'toy kitchen set', 'toy tool kit', 'toy vehicle', 'tray', 'tumbler', 'umbrella', 'usb drive', 'utensil holder', 'vase', 'video game', 'vinyl tape', 'virtual reality viewer', 'washcloth', 'waste basket', 'water bottle', 'weight loss guide', 'whale whistle', 'wipe warmer', 'wireless accessory', 'xylitol sweetener']"
parlor,['ottoman']
person's living room,['sofa']
pitcher,['mule']
place,['rug']
plate,"['cabbage', 'cheese', 'cookies', 'design', 'edible', 'engraving', 'food', 'fruit', 'lasagna', 'parsley', 'pea', 'pie', 'sandwich', 'sauce', 'shrimp', 'steak', 'sushi']"
playroom,"['action figure', 'adjustable wrench', 'android figure', 'anti slip tape', 'antidepressant', 'apple', 'backpack', 'balancing cactu', 'ball', 'banana', 'baseball', 'bath sheet', 'battery', 'beard color gel', 'beauty pack', 'bleach cleanser', 'blender jar', 'board game', 'book', 'bookend', 'bowl', 'box', 'bundt pan', 'butter dish', 'cake mix', 'cake pan', 'camera', 'can opener', 'candle holder', 'candy', 'candy bar', 'canister', 'card game', 'carrying case', 'casserole dish', 'cereal', 'chain', 'chocolate', 'chocolate box', 'chocolate milk pod', 'chocolate powder', 'chopping board', 'clamp', 'clay', 'clock', 'cloth', 'coffee bean', 'coffee pod', 'coffeemaker', 'colored wood block', 'condiment', 'cracker box', 'crayon', 'cube storage box', 'cup', 'cushion', 'desk caddy', 'diaper pack', 'dietary supplement', 'dish drainer', 'dishtowel', 'dispensing closure', 'dog bowl', 'dog chew toy', 'dollhouse toy', 'donut', 'drink coaster', 'duct tape', 'dumbbell', 'dumbbell rack', 'dustpan and brush', 'dutch oven', 'easter basket', 'electric heater', 'electric toothbrush', 'electronic adapter', 'electronic cable', 'face moisturizer', 'file sorter', 'fingerpaint', 'fitness tracker wristband', 'flashlight', 'flat screwdriver', 'foam brick', 'folder', 'fondant', 'fork', 'fruit snack', 'gelatin box', 'glove', 'golf ball', 'graphics card', 'hair color', 'hair conditioner', 'hair dryer', 'hair straightener', 'hammer', 'hand bell', 'handbag', 'hard drive', 'hard drive case', 'hat', 'headphone', 'heavy duty glove', 'heavy master chef can', 'helmet', 'herring fillet', 'honey dipper', 'incontinence pad', 'ink cartridge', 'instant camera', 'invitation card', 'jar', 'jenga', 'jewelry box', 'keyboard', 'knife', 'knife block', 'labeling tape', 'lamp', 'lantern', 'laptop', 'laptop cover', 'laptop stand', 'large marker', 'laundry box', 'laxative', 'lego duplo', 'lemon', 'letter holder', 'light bulb', 'lime squeezer', 'lipstick', 'lunch bag', 'lunch box', 'magnifying glas', 'mascara', 'master chef can', 'measuring tape', 'medicine', 'milk fror', 'mini soccer ball', 'morboard', 'mouse', 'mouse pad', 'movie dvd', 'mug', 'multiport hub', 'mustard bottle', 'neck rest', 'nine hole peg test', 'nintendo switch', 'orange', 'padlock', 'paint bottle set', 'paint maker', 'pan', 'paper bag', 'parchment sheet', 'peach', 'pear', 'peg and hammer toy', 'pencil case', 'peppermint', 'pepsi can pack', 'pet food supplement', 'phillips screwdriver', 'phone armband case', 'phone stand', 'picture frame', 'pillow', 'pitcher base', 'plant', 'plant container', 'plant saucer', 'plate', 'plum', 'portable speaker', 'potted meat can', 'power drill', 'pressure cooker', 'pudding box', 'puzzle game', 'racquetball', 'ramekin', 'remote control', 'rmal laminator', 'router', 'rubiks cube', 'salt shaker', 'sanitary pad', 'saucer', 'saute pan', 'scissors', 'set-top box', 'shoe', 'shoe box', 'shredder', 'sidewalk chalk', 'skillet', 'skillet lid', 'skin care product', 'skin moisturizer', 'snack cake', 'snack dispenser', 'soap dish', 'soap dispenser', 'softball', 'software cd', 'sorting toy', 'sparkling water', 'spatula', 'sponge', 'sponge dish', 'spoon', 'spoon rest', 'stacking cup', 'stand mixer', 'storage bin', 'strawberry', 'string light', 'stuffed toy', 'sugar box', 'sugar sprinkle', 'surface saver ring', 'sushi mat', 'table lamp', 'tablet', 'tablet holder', 'tablet stand', 'tampon', 'tea can pack', 'tea pod', 'teapot', 'tennis ball', 'toaster', 'tomato soup can', 'toothbrush holder', 'toothbrush pack', 'towel', 'toy airplane', 'toy animal', 'toy basketball', 'toy bowling set', 'toy construction set', 'toy fishing', 'toy food', 'toy furniture set', 'toy instrument', 'toy kitchen set', 'toy tool kit', 'toy vehicle', 'tray', 'tumbler', 'umbrella', 'usb drive', 'utensil holder', 'vase', 'video game', 'vinyl tape', 'virtual reality viewer', 'washcloth', 'waste basket', 'water bottle', 'weight loss guide', 'whale whistle', 'wipe warmer', 'wireless accessory', 'xylitol sweetener']"
pocket,"['condom', 'glass', 'gun', 'hand', 'pencil', 'phone', 'toast', 'wallet']"
pod,['pea']
pot,"['chip', 'coffee', 'lobster', 'stew', 'tomato']"
prostitute's bedroom,['john']
purse,"['candy', 'cellphone', 'condom', 'dime', 'junk', 'lipstick', 'makeup', 'moistener', 'pill', 'sunglass', 'tampon', 'wallet']"
quiver,['arrow']
range,"['beacon', 'coating', 'phone', 'radio', 'sheet', 'tag', 'tank']"
refrigerator,"['artichoke', 'beer', 'bread', 'carrot', 'celery', 'cheese', 'condiment', 'container', 'custard', 'dessert', 'drawer', 'dressing', 'drink', 'fish', 'food', 'fruit', 'gel', 'ham', 'jam', 'jar', 'juice', 'lemon', 'mayonnaise', 'milk', 'mint', 'mold', 'pesto', 'pie', 'rib', 'rice', 'romaine', 'salad', 'shelf', 'steak', 'tea', 'tofu', 'turkey', 'vegetable']"
restroom,"['faucet', 'mirror']"
room,"['bat', 'beanbag', 'bed', 'candle', 'carpeting', 'closet', 'couch', 'door', 'fireplace', 'furniture', 'guard', 'library', 'mirror', 'pillow', 'radiator', 'shelf', 'sideboard', 'sink', 'table', 'tile', 'toy', 'tv', 'vent', 'wardrobe']"
room of house,['mouse']
sack,['ball']
safe,['jewelry']
schoolroom,['desk']
sedan,['windshield']
separate room,['toilet']
shaker,['salt']
shelf,"['beer', 'bookend', 'candle', 'cereal', 'cookbook', 'cup', 'dictionary', 'dish', 'figurine', 'folder', 'food', 'hat', 'jar', 'lamp', 'mouse', 'paint', 'pencil', 'photograph', 'salt', 'spice', 'statuette', 'trinket', 'vase']"
shell,"['scallop', 'snail']"
shoe,['foot']
side of  room,['desk']
sink,"['cup', 'dish', 'faucet', 'spider', 'tap']"
small room,['kitchen']
sofa,['cushion']
spoon,['food']
stand,['umbrella']
storage room,"['action figure', 'adjustable wrench', 'android figure', 'anti slip tape', 'antidepressant', 'apple', 'backpack', 'balancing cactu', 'banana', 'baseball', 'bath sheet', 'battery', 'beard color gel', 'beauty pack', 'bleach cleanser', 'blender jar', 'board game', 'book', 'bookend', 'bowl', 'box', 'bundt pan', 'butter dish', 'cake mix', 'cake pan', 'camera', 'can opener', 'candle holder', 'candy', 'candy bar', 'canister', 'card game', 'carrying case', 'casserole dish', 'cereal', 'chain', 'chocolate', 'chocolate box', 'chocolate milk pod', 'chocolate powder', 'chopping board', 'clamp', 'clay', 'clock', 'cloth', 'coffee bean', 'coffee pod', 'coffeemaker', 'colored wood block', 'condiment', 'cracker box', 'crayon', 'cube storage box', 'cup', 'cushion', 'desk caddy', 'diaper pack', 'dietary supplement', 'dish drainer', 'dishtowel', 'dispensing closure', 'dog bowl', 'dog chew toy', 'dollhouse toy', 'donut', 'drink coaster', 'duct tape', 'dumbbell', 'dumbbell rack', 'dustpan and brush', 'dutch oven', 'easter basket', 'electric heater', 'electric toothbrush', 'electronic adapter', 'electronic cable', 'face moisturizer', 'file sorter', 'fingerpaint', 'fitness tracker wristband', 'flashlight', 'flat screwdriver', 'foam brick', 'folder', 'fondant', 'fork', 'fruit snack', 'gelatin box', 'glove', 'golf ball', 'graphics card', 'hair color', 'hair conditioner', 'hair dryer', 'hair straightener', 'hammer', 'hand bell', 'handbag', 'hard drive', 'hard drive case', 'hat', 'headphone', 'heavy duty glove', 'heavy master chef can', 'helmet', 'herring fillet', 'honey dipper', 'incontinence pad', 'ink cartridge', 'instant camera', 'invitation card', 'jar', 'jenga', 'jewelry box', 'keyboard', 'knife', 'knife block', 'labeling tape', 'lamp', 'lantern', 'laptop', 'laptop cover', 'laptop stand', 'large marker', 'laundry box', 'laxative', 'lego duplo', 'lemon', 'letter holder', 'light bulb', 'lime squeezer', 'lipstick', 'lunch bag', 'lunch box', 'magnifying glas', 'mascara', 'master chef can', 'measuring tape', 'medicine', 'milk fror', 'mini soccer ball', 'morboard', 'mouse', 'mouse pad', 'movie dvd', 'mug', 'multiport hub', 'mustard bottle', 'neck rest', 'nine hole peg test', 'nintendo switch', 'orange', 'padlock', 'paint bottle set', 'paint maker', 'pan', 'paper bag', 'parchment sheet', 'peach', 'pear', 'peg and hammer toy', 'pencil case', 'peppermint', 'pepsi can pack', 'pet food supplement', 'phillips screwdriver', 'phone armband case', 'phone stand', 'picture frame', 'pillow', 'pitcher base', 'plant', 'plant container', 'plant saucer', 'plate', 'plum', 'portable speaker', 'potted meat can', 'power drill', 'pressure cooker', 'pudding box', 'puzzle game', 'racquetball', 'ramekin', 'remote control', 'rmal laminator', 'router', 'rubiks cube', 'salt shaker', 'sanitary pad', 'saucer', 'saute pan', 'scissors', 'set-top box', 'shoe', 'shoe box', 'shredder', 'sidewalk chalk', 'skillet', 'skillet lid', 'skin care product', 'skin moisturizer', 'snack cake', 'snack dispenser', 'soap dish', 'soap dispenser', 'softball', 'software cd', 'sorting toy', 'sparkling water', 'spatula', 'sponge', 'sponge dish', 'spoon', 'spoon rest', 'stacking cup', 'stand mixer', 'storage bin', 'strawberry', 'string light', 'stuffed toy', 'sugar box', 'sugar sprinkle', 'surface saver ring', 'sushi mat', 'table lamp', 'tablet', 'tablet holder', 'tablet stand', 'tampon', 'tea can pack', 'tea pod', 'teapot', 'tennis ball', 'toaster', 'tomato soup can', 'toothbrush holder', 'toothbrush pack', 'towel', 'toy airplane', 'toy animal', 'toy basketball', 'toy bowling set', 'toy construction set', 'toy fishing', 'toy food', 'toy furniture set', 'toy instrument', 'toy kitchen set', 'toy tool kit', 'toy vehicle', 'tray', 'tumbler', 'umbrella', 'usb drive', 'utensil holder', 'vase', 'video game', 'vinyl tape', 'virtual reality viewer', 'washcloth', 'waste basket', 'water bottle', 'weight loss guide', 'whale whistle', 'wipe warmer', 'wireless accessory', 'xylitol sweetener']"
stove,['oven']
study,"['armchair', 'bookcase', 'desk']"
suitcase,"['belt', 'blouse', 'bra', 'camera', 'cap', 'clothing', 'document', 'flashlight', 'garment', 'glove', 'hat', 'jacket', 'jewelry', 'pajama', 'paper', 'robe', 'scarf', 'shirt', 'shoe', 'slack', 'stocking', 'suit', 'sweater', 'toiletry', 'toothbrush', 'top', 'trouser', 'underwear']"
table,"['apricot', 'ashtray', 'breakfast', 'candelabra', 'candle', 'candlestick', 'centerpiece', 'coaster', 'column', 'computer', 'condiment', 'crisp', 'cup', 'cutlery', 'dictionary', 'dinner', 'dish', 'food', 'foot', 'lamp', 'magazine', 'mail', 'napkin', 'paper', 'row', 'rug', 'salt', 'setting', 'shoe', 'spoon', 'toy', 'varnish', 'vase']"
tank,"['fish', 'lobster', 'shrimp', 'wine']"
tea room,['saucer']
teapot,['tea']
television room,"['action figure', 'adjustable wrench', 'android figure', 'anti slip tape', 'antidepressant', 'apple', 'backpack', 'balancing cactu', 'banana', 'baseball', 'bath sheet', 'battery', 'beard color gel', 'beauty pack', 'bleach cleanser', 'blender jar', 'board game', 'book', 'bookend', 'bowl', 'box', 'bundt pan', 'butter dish', 'cake mix', 'cake pan', 'camera', 'can opener', 'candle holder', 'candy', 'candy bar', 'canister', 'card game', 'carrying case', 'casserole dish', 'cereal', 'chain', 'chocolate', 'chocolate box', 'chocolate milk pod', 'chocolate powder', 'chopping board', 'clamp', 'clay', 'clock', 'cloth', 'coffee bean', 'coffee pod', 'coffeemaker', 'colored wood block', 'condiment', 'cracker box', 'crayon', 'cube storage box', 'cup', 'cushion', 'desk caddy', 'diaper pack', 'dietary supplement', 'dish drainer', 'dishtowel', 'dispensing closure', 'dog bowl', 'dog chew toy', 'dollhouse toy', 'donut', 'drink coaster', 'duct tape', 'dumbbell', 'dumbbell rack', 'dustpan and brush', 'dutch oven', 'easter basket', 'electric heater', 'electric toothbrush', 'electronic adapter', 'electronic cable', 'face moisturizer', 'file sorter', 'fingerpaint', 'fitness tracker wristband', 'flashlight', 'flat screwdriver', 'foam brick', 'folder', 'fondant', 'fork', 'fruit snack', 'gelatin box', 'glove', 'golf ball', 'graphics card', 'hair color', 'hair conditioner', 'hair dryer', 'hair straightener', 'hammer', 'hand bell', 'handbag', 'hard drive', 'hard drive case', 'hat', 'headphone', 'heavy duty glove', 'heavy master chef can', 'helmet', 'herring fillet', 'honey dipper', 'incontinence pad', 'ink cartridge', 'instant camera', 'invitation card', 'jar', 'jenga', 'jewelry box', 'keyboard', 'knife', 'knife block', 'labeling tape', 'lamp', 'lantern', 'laptop', 'laptop cover', 'laptop stand', 'large marker', 'laundry box', 'laxative', 'lego duplo', 'lemon', 'letter holder', 'light bulb', 'lime squeezer', 'lipstick', 'lunch bag', 'lunch box', 'magnifying glas', 'mascara', 'master chef can', 'measuring tape', 'medicine', 'milk fror', 'mini soccer ball', 'morboard', 'mouse', 'mouse pad', 'movie dvd', 'mug', 'multiport hub', 'mustard bottle', 'neck rest', 'nine hole peg test', 'nintendo switch', 'orange', 'padlock', 'paint bottle set', 'paint maker', 'pan', 'paper bag', 'parchment sheet', 'peach', 'pear', 'peg and hammer toy', 'pencil case', 'peppermint', 'pepsi can pack', 'pet food supplement', 'phillips screwdriver', 'phone armband case', 'phone stand', 'picture frame', 'pillow', 'pitcher base', 'plant', 'plant container', 'plant saucer', 'plate', 'plum', 'portable speaker', 'potted meat can', 'power drill', 'pressure cooker', 'pudding box', 'puzzle game', 'racquetball', 'ramekin', 'remote control', 'rmal laminator', 'router', 'rubiks cube', 'salt shaker', 'sanitary pad', 'saucer', 'saute pan', 'scissors', 'set-top box', 'shoe', 'shoe box', 'shredder', 'sidewalk chalk', 'skillet', 'skillet lid', 'skin care product', 'skin moisturizer', 'snack cake', 'snack dispenser', 'soap dish', 'soap dispenser', 'softball', 'software cd', 'sorting toy', 'sparkling water', 'spatula', 'sponge', 'sponge dish', 'spoon', 'spoon rest', 'stacking cup', 'stand mixer', 'storage bin', 'strawberry', 'string light', 'stuffed toy', 'sugar box', 'sugar sprinkle', 'surface saver ring', 'sushi mat', 'table lamp', 'tablet', 'tablet holder', 'tablet stand', 'tampon', 'tea can pack', 'tea pod', 'teapot', 'tennis ball', 'toaster', 'tomato soup can', 'toothbrush holder', 'toothbrush pack', 'towel', 'toy airplane', 'toy animal', 'toy basketball', 'toy bowling set', 'toy construction set', 'toy fishing', 'toy food', 'toy furniture set', 'toy instrument', 'toy kitchen set', 'toy tool kit', 'toy vehicle', 'tray', 'tumbler', 'umbrella', 'usb drive', 'utensil holder', 'vase', 'video game', 'vinyl tape', 'virtual reality viewer', 'washcloth', 'waste basket', 'water bottle', 'weight loss guide', 'whale whistle', 'wipe warmer', 'wireless accessory', 'xylitol sweetener']"
tin,"['pastry', 'potato']"
toaster,['bread']
toolbox,"['drill', 'saw', 'screwdriver']"
trap,['mouse']
truck,"['food', 'horn', 'phone', 'radiator']"
trunk,"['antique', 'blanket', 'case', 'clothing', 'gun', 'jack', 'quilt', 'radio', 'sweater', 'yearbook']"
utility room,"['action figure', 'adjustable wrench', 'android figure', 'anti slip tape', 'antidepressant', 'apple', 'backpack', 'balancing cactu', 'banana', 'baseball', 'bath sheet', 'battery', 'beard color gel', 'beauty pack', 'bleach cleanser', 'blender jar', 'board game', 'book', 'bookend', 'bowl', 'box', 'bundt pan', 'butter dish', 'cake mix', 'cake pan', 'camera', 'can opener', 'candle holder', 'candy', 'candy bar', 'canister', 'card game', 'carrying case', 'casserole dish', 'cereal', 'chain', 'chocolate', 'chocolate box', 'chocolate milk pod', 'chocolate powder', 'chopping board', 'clamp', 'clay', 'clock', 'cloth', 'coffee bean', 'coffee pod', 'coffeemaker', 'colored wood block', 'condiment', 'cracker box', 'crayon', 'cube storage box', 'cup', 'cushion', 'desk caddy', 'diaper pack', 'dietary supplement', 'dish drainer', 'dishtowel', 'dispensing closure', 'dog bowl', 'dog chew toy', 'dollhouse toy', 'donut', 'drink coaster', 'duct tape', 'dumbbell', 'dumbbell rack', 'dustpan and brush', 'dutch oven', 'easter basket', 'electric heater', 'electric toothbrush', 'electronic adapter', 'electronic cable', 'face moisturizer', 'file sorter', 'fingerpaint', 'fitness tracker wristband', 'flashlight', 'flat screwdriver', 'foam brick', 'folder', 'fondant', 'fork', 'fruit snack', 'gelatin box', 'glove', 'golf ball', 'graphics card', 'hair color', 'hair conditioner', 'hair dryer', 'hair straightener', 'hammer', 'hand bell', 'handbag', 'hard drive', 'hard drive case', 'hat', 'headphone', 'heavy duty glove', 'heavy master chef can', 'helmet', 'herring fillet', 'honey dipper', 'incontinence pad', 'ink cartridge', 'instant camera', 'invitation card', 'jar', 'jenga', 'jewelry box', 'keyboard', 'knife', 'knife block', 'labeling tape', 'lamp', 'lantern', 'laptop', 'laptop cover', 'laptop stand', 'large marker', 'laundry box', 'laxative', 'lego duplo', 'lemon', 'letter holder', 'light bulb', 'lime squeezer', 'lipstick', 'lunch bag', 'lunch box', 'magnifying glas', 'mascara', 'master chef can', 'measuring tape', 'medicine', 'milk fror', 'mini soccer ball', 'morboard', 'mouse', 'mouse pad', 'movie dvd', 'mug', 'multiport hub', 'mustard bottle', 'neck rest', 'nine hole peg test', 'nintendo switch', 'orange', 'padlock', 'paint bottle set', 'paint maker', 'pan', 'paper bag', 'parchment sheet', 'peach', 'pear', 'peg and hammer toy', 'pencil case', 'peppermint', 'pepsi can pack', 'pet food supplement', 'phillips screwdriver', 'phone armband case', 'phone stand', 'picture frame', 'pillow', 'pitcher base', 'plant', 'plant container', 'plant saucer', 'plate', 'plum', 'portable speaker', 'potted meat can', 'power drill', 'pressure cooker', 'pudding box', 'puzzle game', 'racquetball', 'ramekin', 'remote control', 'rmal laminator', 'router', 'rubiks cube', 'salt shaker', 'sanitary pad', 'saucer', 'saute pan', 'scissors', 'set-top box', 'shoe', 'shoe box', 'shredder', 'sidewalk chalk', 'skillet', 'skillet lid', 'skin care product', 'skin moisturizer', 'snack cake', 'snack dispenser', 'soap dish', 'soap dispenser', 'softball', 'software cd', 'sorting toy', 'sparkling water', 'spatula', 'sponge', 'sponge dish', 'spoon', 'spoon rest', 'stacking cup', 'stand mixer', 'storage bin', 'strawberry', 'string light', 'stuffed toy', 'sugar box', 'sugar sprinkle', 'surface saver ring', 'sushi mat', 'table lamp', 'tablet', 'tablet holder', 'tablet stand', 'tampon', 'tea can pack', 'tea pod', 'teapot', 'tennis ball', 'toaster', 'tomato soup can', 'toothbrush holder', 'toothbrush pack', 'towel', 'toy airplane', 'toy animal', 'toy basketball', 'toy bowling set', 'toy construction set', 'toy fishing', 'toy food', 'toy furniture set', 'toy instrument', 'toy kitchen set', 'toy tool kit', 'toy vehicle', 'tray', 'tumbler', 'umbrella', 'usb drive', 'utensil holder', 'vase', 'video game', 'vinyl tape', 'virtual reality viewer', 'washcloth', 'waste basket', 'water bottle', 'weight loss guide', 'whale whistle', 'wipe warmer', 'wireless accessory', 'xylitol sweetener']"
vault,['jewelry']
waiting room,"['couch', 'magazine']"
wallet,"['check', 'condom']"
wardrobe,['coat']
washer,"['laundry', 'set']"
way,['presentation']
well,"['bat', 'oil']"
