object,pred_locations,rr,ap@1,ap@3,ap@5,rec@1,rec@3,rec@5
action figure,"[""child's bedroom"", 'living room', 'toy box', 'bookshelf', 'under the sofa']",0.5,0.0,0.5,0.5,0.0,0.058823529411764705,0.058823529411764705
adjustable wrench,"['garage', 'toolbox', 'shed', 'workshop', 'basement']",1.0,1.0,1.0,1.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
alarmclock,"['nightstand', 'dresser', 'bedside table', 'desk', 'shelf']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
aluminumfoil,"['kitchen drawer', 'pantry', 'under the sink', 'junk drawer']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
android figure,"[""child's bedroom"", 'living room shelf', ""collector's display case"", 'office desk']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
anti slip tape,"['bathroom', 'kitchen', 'stairs']",1.0,1.0,1.0,1.0,0.058823529411764705,0.11764705882352941,0.11764705882352941
antidepressant,"['nightstand', 'medicine cabinet', 'bathroom drawer', 'purse/backpack']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
antique,"['living room', 'study', 'dining room', 'bedroom', 'hallway', 'attic']",0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
apple,"['kitchen counter', 'fruit bowl', 'refrigerator', 'dining table', 'pantry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
applesauce,"['refrigerator', 'pantry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
appliance,"['kitchen', 'laundry room', 'bathroom', 'garage']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
apricot,"['fruit bowl', 'kitchen counter', 'refrigerator', 'pantry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
armchair,"['living room', 'bedroom', 'study', 'den']",1.0,1.0,1.0,1.0,0.16666666666666666,0.5,0.5
armoire,"['bedroom', 'hallway', 'living room']",1.0,1.0,0.5,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666
armrest,"['sofa', 'armchair', 'recliner', 'office chair', 'dining chair']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
arrow,"['quiver', 'drawer', 'closet', 'attic', 'basement', 'garage', ""child's room"", 'office/study']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
artichoke,"['refrigerator', 'countertop', 'fruit bowl', 'pantry']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
article,"['coffee table', 'bookshelf', 'desk', 'nightstand', 'floor', 'sofa', 'armchair', 'dining table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
ashtray,"['coffee table', 'end table', 'patio table', 'nightstand', 'desk']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
asparagus,"['refrigerator', 'crisper drawer', 'countertop', 'kitchen table', 'compost bin']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
atm,"['there is no prototypical location for an atm in a household. atms are found in banks', 'shopping malls', 'and other public places.']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
attic,"['attic', 'garage', 'basement', 'storage room', 'shed']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
backpack,"['entryway', 'bedroom', 'living room', 'closet', 'under a desk/table']",0.5,0.0,0.5833333333333333,0.6388888888888888,0.0,0.11764705882352941,0.17647058823529413
bacon,"['refrigerator', 'pantry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
balancing cactus,"['living room shelf', 'bedroom nightstand', 'office desk', 'kitchen windowsill']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
ball,"['living room', 'bedroom', 'playroom', 'hallway', 'garage', 'basement']",0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.25,0.25
balustrade,"['staircase', 'landing', 'balcony']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
banana,"['kitchen counter', 'fruit bowl', 'dining table', 'pantry', 'refrigerator']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bar,"['kitchen counter', 'home bar', 'dining room', 'living room']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseball,"[""child's bedroom"", 'garage', 'living room', 'basement']",0.5,0.0,0.5833333333333333,0.5833333333333333,0.0,0.11764705882352941,0.11764705882352941
baseballbat,"['garage', 'basement', 'closet', 'shed', 'attic']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
basil,"['kitchen counter', 'windowsill', 'herb garden', 'refrigerator']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
basketball,"['garage', 'bedroom', 'living room', 'basement']",0.5,0.0,0.0,0.0,0.0,0.0,0.0
bat,"['closet', 'garage', 'attic', 'basement', 'bedroom']",0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666
bath sheet,"['bathroom', 'linen closet']",1.0,1.0,1.0,1.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
bathtub,"['bathroom', 'ensuite bathroom']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
bathtubbasin,"['bathroom', 'ensuite bathroom']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
batter,"['refrigerator', 'pantry', 'countertop', 'cabinet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery,"['junk drawer', 'toy box', 'remote control holder', 'garage', 'tool box', 'electronics drawer', 'under furniture (couch', 'bed)']",0.25,0.0,0.0,0.25,0.0,0.0,0.058823529411764705
beacon,"['living room', 'bedroom', 'office', 'shelf', 'desk', 'nightstand']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
beanbag,"['living room', 'playroom', 'bedroom', 'basement']",0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.25,0.25
beard color gel,"['bathroom counter', 'bathroom cabinet', 'medicine cabinet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
beauty pack,"['bathroom counter', 'bathroom drawer', 'bedroom drawer', 'makeup bag', 'travel bag']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bed,"['bedroom', 'guest room', 'sofa bed']",1.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
bedroom,"['master bedroom', 'guest bedroom', ""child's bedroom"", 'attic bedroom']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
beer,"['refrigerator', 'pantry', 'countertop', 'cabinet', 'basement', 'garage']",1.0,1.0,1.0,1.0,0.1,0.1,0.1
beet,"['refrigerator', 'pantry', 'countertop', 'compost bin']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
belt,"['bedroom closet', 'bedroom dresser', 'bathroom', 'coat closet', 'living room coat rack']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
beverage,"['refrigerator', 'countertop', 'dining table', 'coffee table', 'cupboard', 'nightstand']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
binoculars,"['living room', 'study', 'bedroom', 'attic', 'basement']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
biscuit,"['kitchen counter', 'pantry', 'cookie jar', 'dining table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
blanket,"['bed', 'sofa', 'armchair', 'closet', 'storage bin']",0.25,0.0,0.0,0.25,0.0,0.0,0.2
bleach cleanser,"['under the kitchen sink', 'laundry room', 'bathroom cabinet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
blender,"['kitchen counter', 'kitchen cabinet', 'pantry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
blender jar,"['kitchen counter', 'kitchen cabinet', 'dishwasher', 'sink']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
blind,"['window', 'living room', 'bedroom', 'office']",0.5,0.0,0.5833333333333333,0.5833333333333333,0.0,0.6666666666666666,0.6666666666666666
blouse,"['bedroom closet', 'bedroom dresser', 'laundry basket', 'bedroom floor']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
board game,"['living room', 'family room', 'game room', 'closet', 'shelf']",1.0,1.0,1.0,0.75,0.058823529411764705,0.058823529411764705,0.11764705882352941
boat,"['living room', 'attic', 'basement', ""child's bedroom""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0
boater,"['coat closet', 'bedroom closet', 'entryway', 'mudroom', 'storage bin', 'garage']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bolt,"['toolbox', 'garage', 'workshop', 'junk drawer', 'basement']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
book,"['bookshelf', 'coffee table', 'nightstand', 'desk', 'floor', 'armchair']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bookcase,"['living room', 'bedroom', 'study', 'office', 'hallway']",0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
bookend,"['bookshelf', 'nightstand', 'desk', 'coffee table', 'mantelpiece']",1.0,1.0,1.0,1.0,0.05,0.05,0.05
bookshelf,"['living room', 'bedroom', 'study', 'office', 'hallway']",0.5,0.0,0.5,0.5,0.0,0.5,0.5
boot,"['entryway', 'closet', 'bedroom', 'mudroom', 'garage']",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
booze,"['kitchen cabinet', 'bar cart', 'pantry', 'basement', 'liquor cabinet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottle,"['kitchen counter', 'kitchen cabinet', 'dining table', 'recycling bin', 'bathroom counter', 'bedroom nightstand', 'living room coffee table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bourbon,"['kitchen cabinet', 'bar cart', 'home office', 'dining room cabinet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowl,"['kitchen cupboard', 'kitchen counter', 'dining table', 'living room coffee table', 'sink', 'dishwasher']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
box,"['living room', 'bedroom', 'attic', 'basement', 'garage', 'kitchen', 'office/study']",1.0,1.0,1.0,0.8666666666666667,0.058823529411764705,0.11764705882352941,0.17647058823529413
bra,"['bedroom dresser', 'bedroom closet', 'laundry basket', 'bathroom drawer']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
brain,"['', 'laboratory', 'study', 'office', 'bedroom']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
brandy,"['kitchen cabinet', 'bar cart', 'dining room cabinet', 'home office']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bread,"['kitchen counter', 'bread bin', 'pantry', 'refrigerator', 'freezer']",0.3333333333333333,0.0,0.3333333333333333,0.41666666666666663,0.0,0.14285714285714285,0.2857142857142857
breakfast,"['kitchen table', 'kitchen counter', 'dining table', 'breakfast bar']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
broccoli,"['refrigerator', 'countertop', 'sink', 'compost bin']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
broiler,"['kitchen', 'pantry', 'cupboard']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
broom,"['closet', 'pantry', 'utility room', 'kitchen', 'garage']",1.0,1.0,1.0,1.0,0.5,0.5,0.5
bug,"['kitchen', 'bathroom', 'bedroom', 'living room', 'basement', 'attic']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bulb,"['kitchen counter', 'pantry', 'junk drawer', 'basement', 'garage', 'utility closet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bullet,"['ammo box', 'drawer', 'nightstand', 'shelf', 'toolbox', 'desk', 'floor', 'couch cushions']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bumper,"['garage', 'basement', 'playroom', ""child's bedroom""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bun,"['kitchen counter', 'pantry', 'bread box', 'dining table', 'refrigerator']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundt pan,"['kitchen cabinet', 'pantry', 'drawer']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bureau,"['bedroom', 'hallway', 'living room', 'guest room']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
burner,"['kitchen', 'stovetop']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
butter dish,"['refrigerator', 'countertop', 'dining table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
butterknife,"['kitchen drawer', 'cutlery tray', 'on the counter near knives']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,"['refrigerator', 'countertop', 'kitchen sink', 'pantry', 'compost bin']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabinet,"['kitchen', 'bathroom', 'bedroom', 'living room', 'hallway', 'garage']",1.0,1.0,1.0,1.0,0.25,0.75,1.0
cake mix,"['pantry', 'cupboard', 'cabinet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cake pan,"['kitchen cabinet', 'pantry', 'drawer']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
calender,"['kitchen', 'office', 'living room', 'bedroom', 'entryway']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
camera,"['living room', 'bedroom', 'office', 'hallway', 'kitchen']",1.0,1.0,1.0,0.6666666666666666,0.05,0.1,0.15
camper,"['garage', 'driveway', 'basement', 'attic', 'spare room']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
can opener,"['kitchen drawer', 'kitchen counter', 'utensil holder']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
candelabra,"['dining room', 'living room', 'hallway', 'bedroom']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
candle,"['living room', 'dining room', 'bedroom', 'bathroom', 'kitchen']",1.0,1.0,0.8333333333333333,0.6041666666666666,0.1,0.2,0.4
candle holder,"['living room', 'dining room', 'bedroom', 'bathroom', 'mantelpiece', 'coffee table', 'bookshelf']",1.0,1.0,1.0,1.0,0.058823529411764705,0.17647058823529413,0.23529411764705882
candlestick,"['dining table', 'mantelpiece', 'coffee table', 'bookshelf', 'sideboard']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
candy,"['kitchen counter', 'pantry', 'candy jar', 'coffee table', ""child's bedroom"", 'living room', 'dining room table']",0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
candy bar,"['kitchen counter', 'pantry', 'coffee table', 'nightstand', 'backpack', 'car console']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
canister,"['kitchen counter', 'pantry', 'under the sink', 'garage shelf']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
canteen,"['kitchen cupboard', 'backpack', 'desk drawer', 'car', 'gym bag']",0.5,0.0,0.0,0.0,0.0,0.0,0.0
canvas,"['living room', 'studio/office', 'bedroom', 'attic', 'basement']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cap,"['bathroom sink', 'countertop', 'bedroom floor', 'laundry basket', 'kitchen counter', 'table', 'coat pocket']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
carburettor,"['garage', 'shed', 'workshop']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
card,"['living room table', 'kitchen table', 'desk', 'nightstand', 'bookshelf', 'coffee table', 'drawer', 'wallet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
card game,"['living room', 'coffee table', 'bookshelf', 'game closet', 'drawer']",1.0,1.0,1.0,1.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
carpeting,"['living room', 'bedroom', 'hallway', 'stairs', 'dining room']",0.5,0.0,0.5,0.5,0.0,0.25,0.25
carrot,"['refrigerator', 'countertop', 'pantry', 'compost bin', 'vegetable drawer']",1.0,1.0,1.0,1.0,0.25,0.25,0.25
carrying case,"['closet', 'under bed', 'garage', 'attic', 'shelf']",1.0,1.0,0.8333333333333333,0.8333333333333333,0.058823529411764705,0.11764705882352941,0.11764705882352941
case,"['suitcase: bedroom', 'hallway', 'attic\nphone case: bedroom', 'living room', 'kitchen\nglasses case: nightstand', 'bathroom', 'desk\ninstrument case: living room', 'bedroom', 'basement']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
casserole dish,"['kitchen cabinet', 'kitchen counter', 'oven', 'dining table', 'refrigerator']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cauliflower,"['refrigerator', 'countertop', 'kitchen table', 'pantry', 'compost bin']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cd,"['living room', 'bedroom', 'office', 'entertainment center', 'bookshelf']",0.5,0.0,0.5,0.5,0.0,0.3333333333333333,0.3333333333333333
celery,"['refrigerator', 'crisper drawer', 'countertop', 'cutting board', 'compost bin']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
cellar,"['basement', 'garage', 'utility room', 'under stairs', 'crawl space']",1.0,1.0,1.0,1.0,0.5,0.5,0.5
cellphone,"['bedroom nightstand', 'living room coffee table', 'kitchen counter', 'home office desk', 'bathroom counter', 'couch cushions', 'pocket of pants/jacket']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
centerpiece,"['dining table', 'coffee table', 'sideboard', 'mantelpiece']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cereal,"['kitchen counter', 'pantry', 'cupboard']",0.5,0.0,0.5,0.5,0.0,0.045454545454545456,0.045454545454545456
chain,"['toolbox', 'jewelry box', 'drawer', 'basement', 'attic']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
chair,"['living room', 'dining room', 'bedroom', 'kitchen', 'office', 'entryway']",1.0,1.0,0.8333333333333333,0.7777777777777777,0.3333333333333333,0.6666666666666666,0.6666666666666666
chalk,"[""child's room"", 'garage', 'art supply drawer', 'basement', 'kitchen drawer']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
chalkboard,"['kitchen', 'playroom', 'home office', 'garage', 'basement']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
check,"['desk drawer', 'kitchen counter', 'purse/wallet', 'nightstand drawer', 'junk drawer']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheese,"['refrigerator', 'countertop', 'pantry']",1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
chesterfield,"['living room', 'den', 'family room', 'basement', 'sunroom']",1.0,1.0,1.0,1.0,0.5,0.5,0.5
chicken,"['refrigerator', 'freezer', 'countertop', 'dining table', 'oven']",0.5,0.0,0.5,0.25,0.0,0.5,0.5
chickpea,"['pantry', 'cupboard', 'countertop', 'refrigerator']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
china,"['china cabinet', 'dining room sideboard', 'kitchen cupboard']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
chip,"['kitchen counter', 'coffee table', 'floor', 'couch cushions', 'pantry', 'dining table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate,"['pantry', 'cupboard', 'countertop', 'coffee table', 'drawer', 'refrigerator', 'nightstand', 'bowl', 'basket']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate box,"['kitchen counter', 'pantry', 'coffee table', 'living room shelf', 'dining room table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate milk pods,"['pantry', 'refrigerator', 'kitchen counter']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate powder,"['kitchen cabinet', 'pantry', 'countertop']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
chopping board,"['kitchen counter', 'kitchen drawer', 'next to the sink', 'inside a cabinet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cinnamon,"['kitchen cabinet', 'pantry', 'spice rack']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
clamp,"['toolbox', 'garage', 'workshop', 'kitchen drawer', 'junk drawer']",0.5,0.0,0.5,0.5,0.0,0.058823529411764705,0.058823529411764705
clay,"['art studio', 'craft room', 'kitchen', 'garage', 'basement', 'playroom']",0.3333333333333333,0.0,0.3333333333333333,0.41666666666666663,0.0,0.058823529411764705,0.11764705882352941
clipboard,"['desk', 'kitchen counter', 'home office', 'bookshelf', 'drawer']",1.0,1.0,1.0,1.0,0.5,0.5,0.5
clock,"['living room', 'bedroom', 'kitchen', 'hallway', 'office/study']",1.0,1.0,1.0,1.0,0.058823529411764705,0.17647058823529413,0.17647058823529413
closet,"['bedroom', 'hallway', 'entryway', 'bathroom', 'laundry room']",1.0,1.0,1.0,1.0,0.25,0.25,0.25
cloth,"['laundry basket', 'linen closet', 'bedroom', 'bathroom', 'living room', 'kitchen', 'dining room']",0.3333333333333333,0.0,0.3333333333333333,0.4777777777777777,0.0,0.058823529411764705,0.17647058823529413
clothing,"['bedroom closet', 'bedroom dresser', 'laundry basket', 'bathroom floor', 'living room chair/couch']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
coaster,"['coffee table', 'end table', 'dining table', 'kitchen counter', 'bar cart', 'nightstand']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
coat,"['coat closet', 'bedroom closet', 'entryway', 'back of a chair', 'hook by the door']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
coating,"['kitchen cabinet', 'pantry', 'garage', 'bathroom cabinet', 'closet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
coffee,"['kitchen counter', 'pantry', 'coffee table', 'dining table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
coffee beans,"['kitchen counter', 'pantry', 'cupboard', 'coffee maker']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
coffee pods,"['kitchen counter', 'pantry', 'coffee machine drawer', 'cabinet near coffee machine']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
coffeemachine,"['kitchen counter', 'kitchen cabinet', 'dining area']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
coffeemaker,"['kitchen counter', 'kitchen cabinet', 'dining area']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
coffeetable,"['living room', 'family room', 'den']",1.0,1.0,1.0,1.0,0.5,0.5,0.5
coil,"['garage', 'basement', 'toolbox', 'kitchen drawer', 'utility closet']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
coke,"['refrigerator', 'kitchen counter', 'coffee table', 'dining table', 'pantry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
cola,"['refrigerator', 'kitchen counter', 'pantry', 'dining table', 'coffee table', 'bedside table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
collage,"['bedroom wall', 'living room wall', 'hallway wall', 'office/study wall', 'attic', 'basement']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
colored wood blocks,"[""child's bedroom"", 'playroom', 'living room', 'storage bin/closet']",0.5,0.0,0.5833333333333333,0.5833333333333333,0.0,0.11764705882352941,0.11764705882352941
column,"['living room', 'dining room', 'entryway', 'bedroom', 'office', 'basement']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
comb,"['bathroom', 'bedroom', 'drawer']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
comfort,"['bedroom', 'living room', 'study/office']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
compass,"['desk drawer', 'bookshelf', 'toolbox', 'nightstand', 'backpack']",0.2,0.0,0.0,0.0,0.0,0.0,0.0
compote,"['refrigerator', 'pantry', 'countertop', 'dining table']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
computer,"['desk', 'home office', 'living room', 'bedroom']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
condiment,"['refrigerator', 'pantry', 'cupboard', 'countertop', 'dining table']",1.0,1.0,1.0,1.0,0.047619047619047616,0.09523809523809523,0.09523809523809523
condom,"['nightstand', 'drawer', 'bathroom cabinet', 'under the bed.']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
conserve,"['pantry', 'cupboard', 'refrigerator', 'recycling bin']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
